CO2eq,PBT
95.5,4.1
83.4,5.4
107.4,2.8
189.0,3.5
91.1,3.7
81.8,5.4
115.3,3.7
106.2,2.8
171.7,3.8
207.2,3.2
84.6,5.0
132.5,2.6
82.2,5.7
84.8,4.1
180.6,2.2
130.2,2.7
143.2,2.7
87.3,4.0
98.3,3.9
82.9,4.4
88.0,3.4
83.2,5.1
81.6,4.6
83.5,5.3
102.9,3.4
173.2,2.3
221.0,3.7
100.7,3.6
172.4,3.0
83.6,4.0
123.2,3.6
87.2,3.6
165.8,2.6
84.6,4.1
118.8,2.9
85.5,5.1
198.5,2.3
193.3,3.6
93.5,3.1
151.0,3.1
162.9,2.8
87.6,4.2
108.7,3.0
170.5,2.8
82.3,5.0
114.3,3.9
96.6,3.4
174.5,2.4
83.9,4.1
162.2,3.0
96.3,3.5
99.9,3.4
87.1,4.3
99.3,3.7
83.1,4.6
83.1,4.3
114.7,3.5
130.8,2.5
157.8,2.5
223.1,2.0
89.3,3.5
98.0,3.1
90.2,3.9
205.7,2.6
100.9,3.8
97.1,3.7
136.8,3.3
97.6,3.3
88.8,3.9
82.3,4.3
221.0,2.1
203.2,2.4
82.6,4.6
94.4,4.3
90.6,3.8
82.7,4.2
89.9,4.4
188.3,2.8
140.7,2.7
83.8,4.9
166.6,3.0
85.2,4.1
125.2,3.6
91.9,3.4
83.6,5.3
84.9,5.0
218.7,2.3
93.1,4.3
86.9,4.2
87.6,3.5
196.1,3.5
88.7,4.4
104.6,2.9
83.5,4.1
87.3,4.3
106.9,3.7
85.2,4.5
82.2,4.3
96.2,3.0
82.6,4.7
