h,  Q
1,	25.79
2,	28.13
3,	29.64
4,	29.2
5,	27.73
6,	26.41
7,	24.75
8,	24.11
9,	23.57
10,	23.22
11,	22.41
12,	20.8
13,	19.47
14,	19.08
15,	18.56
16,	17.58
17,	16.75
18,	16.05
19,	16.27
20,	16.4
21,	16.84
22,	17.45
23,	19.14
24,	22.39
25,	25.82
26,	28.17
27,	29.68
28,	29.25
29,	27.77
30,	26.45
31,	24.79
32,	24.14
33,	23.6
34,	23.25
35,	22.43
36,	20.82
37,	19.48
38,	19.1
39,	18.57
40,	17.59
41,	16.77
42,	16.07
43,	16.29
44,	16.41
45,	16.86
46,	17.47
47,	19.16
48,	22.41
49,	25.84
50,	28.19
51,	29.7
52,	29.27
53,	27.79
54,	26.47
55,	24.8
56,	24.15
57,	23.6
58,	23.25
59,	22.44
60,	20.83
61,	19.49
62,	19.1
63,	18.58
64,	17.6
65,	16.77
66,	16.08
67,	16.29
68,	16.42
69,	16.87
70,	17.48
71,	19.17
72,	22.43
73,	25.86
74,	28.22
75,	29.74
76,	29.3
77,	27.82
78,	26.5
79,	24.83
80,	24.17
81,	23.62
82,	23.27
83,	22.45
84,	20.84
85,	19.5
86,	19.12
87,	18.59
88,	17.61
89,	16.79
90,	16.09
91,	16.31
92,	16.43
93,	16.89
94,	17.5
95,	19.19
96,	22.45
97,	24.55
98,	27.19
99,	28.53
100,	28.1
101,   26.66
102,	25.36
103,	23.75
104,	22.84
105,	21.67
106,	20.92
107,	20.78
108,	20.11
109,	19.04
110,	18.68
111,	18.01
112,	17.01
113,	16.33
114,	15.7
115,	15.5
116,	15.57
117,	15.79
118,	16.13
119,	16.73
120,	17.82
121,	22.06
122,	23.72
123,	24.68
124,	24.18
125,	22.83
126,	21.87
127,	20.46
128,	19.69
129,	19.23
130,	19.31
131,	19.95
132,	20.22
133,	19.82
134,	19.2
135,	18.78
136,	18.38
137,	17.8
138,	16.67
139,	16.49
140,	16.49
141,	16.66
142,	17.02
143,	17.83
144,	19.39
145,	20.56
146,	21.98
147,	22.82
148,	22.17
149,	21.05
150,	20.2
151,	19.31
152,	18.41
153,	18.17
154,	18.25
155,	18.85
156,	19.51
157,	19.07
158,	18.88
159,	18.66
160,	17.94
161,	17.26
162,	16.7
163,	17.43
164,	17.18
165,	17.93
166,	18.82
167,	21.78
168,	26.9
