station,valid,tmpc,dwpc
0V4,2020-04-01 00:15,7.89,7.78
0V4,2020-04-01 00:35,8.00,7.78
0V4,2020-04-01 00:55,7.61,7.50
0V4,2020-04-01 01:15,7.50,7.50
0V4,2020-04-01 01:35,7.72,7.61
0V4,2020-04-01 01:55,7.72,7.61
0V4,2020-04-01 02:15,7.50,7.28
0V4,2020-04-01 02:35,7.22,7.11
0V4,2020-04-01 02:55,7.22,7.11
0V4,2020-04-01 03:15,7.22,7.11
0V4,2020-04-01 03:35,7.22,7.11
0V4,2020-04-01 03:55,7.22,7.11
0V4,2020-04-01 04:15,7.22,7.11
0V4,2020-04-01 04:35,7.11,7.00
0V4,2020-04-01 04:55,7.00,7.00
0V4,2020-04-01 05:15,7.00,7.00
0V4,2020-04-01 05:35,6.89,6.78
0V4,2020-04-01 05:55,6.89,6.72
0V4,2020-04-01 06:15,6.78,6.72
0V4,2020-04-01 06:35,6.72,6.61
0V4,2020-04-01 06:55,6.61,6.50
0V4,2020-04-01 07:15,6.61,6.50
0V4,2020-04-01 07:35,6.50,6.28
0V4,2020-04-01 07:55,6.50,6.22
0V4,2020-04-01 08:15,6.28,6.28
0V4,2020-04-01 08:35,6.28,6.22
0V4,2020-04-01 08:55,6.22,6.11
0V4,2020-04-01 09:15,6.00,6.00
0V4,2020-04-01 09:35,6.00,5.78
0V4,2020-04-01 09:55,5.78,5.72
0V4,2020-04-01 10:15,5.61,5.50
0V4,2020-04-01 10:35,5.50,5.50
0V4,2020-04-01 10:55,5.50,5.50
0V4,2020-04-01 11:15,5.50,5.22
0V4,2020-04-01 11:35,5.50,5.39
0V4,2020-04-01 11:55,6.00,5.50
0V4,2020-04-01 12:15,6.00,5.39
0V4,2020-04-01 12:35,6.22,5.50
0V4,2020-04-01 12:55,6.61,5.61
0V4,2020-04-01 13:15,7.00,5.61
0V4,2020-04-01 13:35,6.89,5.00
0V4,2020-04-01 13:55,7.22,4.72
0V4,2020-04-01 14:15,7.11,4.89
0V4,2020-04-01 14:35,7.28,3.89
0V4,2020-04-01 14:55,8.11,3.22
0V4,2020-04-01 15:15,9.22,2.39
0V4,2020-04-01 15:35,10.00,3.11
0V4,2020-04-01 15:55,9.89,3.00
0V4,2020-04-01 16:15,11.11,4.11
0V4,2020-04-01 16:35,11.28,3.00
0V4,2020-04-01 16:55,12.39,4.00
0V4,2020-04-01 17:15,12.28,2.78
0V4,2020-04-01 17:35,12.61,3.11
0V4,2020-04-01 17:55,12.28,2.11
0V4,2020-04-01 18:15,12.22,2.22
0V4,2020-04-01 18:35,13.11,2.89
0V4,2020-04-01 18:55,13.50,1.61
0V4,2020-04-01 19:15,13.89,2.72
0V4,2020-04-01 19:35,13.39,2.61
0V4,2020-04-01 19:55,13.61,2.28
0V4,2020-04-01 20:15,14.39,2.78
0V4,2020-04-01 20:35,13.61,2.72
0V4,2020-04-01 20:55,13.50,2.11
0V4,2020-04-01 21:15,13.89,3.72
0V4,2020-04-01 21:35,13.28,4.39
0V4,2020-04-01 21:55,13.28,4.61
0V4,2020-04-01 22:15,13.00,4.50
0V4,2020-04-01 22:35,12.78,4.72
0V4,2020-04-01 22:55,12.72,4.39
0V4,2020-04-01 23:15,12.28,4.78
0V4,2020-04-01 23:35,12.00,4.72
0V4,2020-04-01 23:55,11.72,4.72
0V4,2020-04-02 00:15,11.50,5.00
0V4,2020-04-02 00:35,11.50,5.11
0V4,2020-04-02 00:55,11.39,5.22
0V4,2020-04-02 01:15,10.78,5.61
0V4,2020-04-02 01:35,10.72,5.11
0V4,2020-04-02 01:55,10.22,4.72
0V4,2020-04-02 02:15,9.50,4.50
0V4,2020-04-02 02:35,9.50,4.39
0V4,2020-04-02 02:55,9.11,4.00
0V4,2020-04-02 03:15,9.28,3.78
0V4,2020-04-02 03:35,9.22,3.39
0V4,2020-04-02 03:55,8.89,3.22
0V4,2020-04-02 04:15,8.61,3.11
0V4,2020-04-02 04:35,8.50,3.00
0V4,2020-04-02 04:55,8.61,3.00
0V4,2020-04-02 05:55,8.50,3.00
0V4,2020-04-02 06:15,8.22,2.78
0V4,2020-04-02 06:35,7.89,2.78
0V4,2020-04-02 06:55,7.61,2.72
0V4,2020-04-02 07:15,7.22,2.72
