scenario_id,climate_window_id,climate_pathway_id,technology_case_id,year,n_successful_realizations,mean_T_out_C,mean_T_out_C_median,winter_mean_T_out_C,winter_mean_T_out_C_median,summer_mean_T_out_C,summer_mean_T_out_C_median,HDD_15,HDD_15_median,HDD_18,HDD_18_median,CDD_22,CDD_22_median,mean_solar_W_m2,mean_solar_W_m2_median
baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,1981,4,8.976870434904752,8.976870434904752,2.7202022976345486,2.7202022976345486,16.844582599142324,16.844582599142324,2458.595916748047,2458.595916748047,3366.0330505371094,3366.0330505371094,4.648223876953125,4.648223876953125,132.70395171283042,132.70395171283042
baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,1982,4,7.488470291764769,7.488470291764769,-0.6227332221137153,-0.6227332221137153,16.04076518183169,16.04076518183169,2897.051727294922,2897.051727294922,3874.084747314453,3874.084747314453,0.76043701171875,0.76043701171875,125.37645339181978,125.37645339181978
baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,1983,4,10.044780992481806,10.044780992481806,3.929487101236979,3.929487101236979,17.072453042735223,17.072453042735223,2074.488555908203,2074.488555908203,3015.471221923828,3015.471221923828,32.385101318359375,32.385101318359375,135.10285618533828,135.10285618533828
baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,1984,4,8.893863031772968,8.893863031772968,3.973779028588599,3.973779028588599,16.544601772142492,16.544601772142492,2448.77783203125,2448.77783203125,3397.1371154785156,3397.1371154785156,5.150299072265625,5.150299072265625,134.97375473950078,134.97375473950078
baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,1985,4,8.097465452429367,8.097465452429367,-0.3769717746310764,-0.3769717746310764,16.43735305122707,16.43735305122707,2721.2808227539062,2721.2808227539062,3666.4652709960938,3666.4652709960938,0.536895751953125,0.536895751953125,134.3827219192296,134.3827219192296
baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,1986,4,8.810493197506421,8.810493197506421,2.986555989583333,2.986555989583333,16.414767389712125,16.414767389712125,2452.6876220703125,2452.6876220703125,3415.990936279297,3415.990936279297,11.260009765625,11.260009765625,133.67980847293384,133.67980847293384
baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,1987,4,8.532001735739511,8.532001735739511,1.7252499050564236,1.7252499050564236,14.827346138332201,14.827346138332201,2439.6040649414062,2439.6040649414062,3470.272735595703,3470.272735595703,0.0,0.0,132.73575204561834,132.73575204561834
baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,1988,4,8.918542747289106,8.918542747289106,2.3295623443938873,2.3295623443938873,16.785784845766813,16.785784845766813,2474.8794860839844,2474.8794860839844,3416.6873779296875,3416.6873779296875,23.316436767578125,23.316436767578125,135.1548151370606,135.1548151370606
baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,1989,4,9.733255381126927,9.733255381126927,3.2514339870876734,3.2514339870876734,17.94324029010275,17.94324029010275,2243.4075317382812,2243.4075317382812,3114.858917236328,3114.858917236328,5.232269287109375,5.232269287109375,143.74793226816882,143.74793226816882
baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,1990,4,8.923933556961687,8.923933556961687,2.60333489312066,2.60333489312066,15.725858937139096,15.725858937139096,2376.590057373047,2376.590057373047,3349.9651794433594,3349.9651794433594,2.27081298828125,2.27081298828125,132.4130215370492,132.4130215370492
