archetype_id,dwelling_type,renovation_state,construction_period_id,construction_period,u_value_package_id,floor_area_m2,ceiling_height_m,storeys_assumed,footprint_m2,perimeter_m,gross_wall_area_m2,exposed_wall_fraction,exposed_wall_area_m2,glazing_ratio,window_area_m2,opaque_wall_area_m2,roof_area_m2,floor_exposed_area_m2,U_wall_W_m2K,U_roof_W_m2K,U_floor_W_m2K,U_window_W_m2K,UA_wall_W_K,UA_roof_W_K,UA_floor_W_K,UA_window_W_K,UA_base_W_K,thermal_bridge_fraction,UA_thermal_bridge_W_K,UA_total_W_K,geometry_source,u_value_source,caveat
BE_RES_DETACHED_PRE_1946_AS_IS_HP_V1,detached,as_is,pre_1946,<1946,tabula_current_pre_1946,185.0,2.50,2.0,92.500,38.471,192.354,1.00,192.354,0.160,29.600,162.754,92.500,92.500,2.20,1.70,0.85,5.00,358.058,157.250,78.625,148.000,741.933,0.10,74.193,816.127,rebuild_archetype_envelope.py geometry assumptions,Belgian TABULA current-state construction-element package for <1946 stock,"Schematic envelope reconstruction: rectangular footprint, type-level exposure factors, construction-period U-value packages, and no measured wall/window areas."
BE_RES_DETACHED_1946_1970_AS_IS_HP_V1,detached,as_is,1946_1970,1946-1970,tabula_current_1946_1970,185.0,2.50,2.0,92.500,38.471,192.354,1.00,192.354,0.160,29.600,162.754,92.500,92.500,1.70,1.90,0.85,5.00,276.682,175.750,78.625,148.000,679.057,0.10,67.906,746.962,rebuild_archetype_envelope.py geometry assumptions,Belgian TABULA current-state construction-element package for 1946-1970 stock,"Schematic envelope reconstruction: rectangular footprint, type-level exposure factors, construction-period U-value packages, and no measured wall/window areas."
BE_RES_DETACHED_1971_1991_AS_IS_HP_V1,detached,as_is,1971_1991,1971-1991,tabula_current_1971_1991,185.0,2.50,2.0,92.500,38.471,192.354,1.00,192.354,0.160,29.600,162.754,92.500,92.500,1.00,0.85,0.85,3.50,162.754,78.625,78.625,103.600,423.604,0.10,42.360,465.964,rebuild_archetype_envelope.py geometry assumptions,Belgian TABULA current-state construction-element package for 1971-1991 stock,"Schematic envelope reconstruction: rectangular footprint, type-level exposure factors, construction-period U-value packages, and no measured wall/window areas."
BE_RES_DETACHED_1992_2011_AS_IS_HP_V1,detached,as_is,1992_2011,1992-2011,tabula_current_1992_2011,185.0,2.50,2.0,92.500,38.471,192.354,1.00,192.354,0.160,29.600,162.754,92.500,92.500,0.60,0.60,0.70,3.50,97.652,55.500,64.750,103.600,321.502,0.10,32.150,353.653,rebuild_archetype_envelope.py geometry assumptions,Belgian TABULA current-state construction-element package mapped to 1992-2011 stock,"Schematic envelope reconstruction: rectangular footprint, type-level exposure factors, construction-period U-value packages, and no measured wall/window areas."
BE_RES_DETACHED_2012_PLUS_AS_IS_HP_V1,detached,as_is,2012_plus,2012+,tabula_current_2012_plus,185.0,2.50,2.0,92.500,38.471,192.354,1.00,192.354,0.160,29.600,162.754,92.500,92.500,0.40,0.30,0.40,2.00,65.102,27.750,37.000,59.200,189.052,0.05,9.453,198.504,rebuild_archetype_envelope.py geometry assumptions,Belgian TABULA / EPB2010-equivalent package mapped to 2012+ stock,"Schematic envelope reconstruction: rectangular footprint, type-level exposure factors, construction-period U-value packages, and no measured wall/window areas."
BE_RES_DETACHED_RENOVATED_HP_V1,detached,renovated,all_periods,all periods,current_code_deep_renovation,185.0,2.50,2.0,92.500,38.471,192.354,1.00,192.354,0.160,29.600,162.754,92.500,92.500,0.24,0.24,0.24,1.50,39.061,22.200,22.200,44.400,127.861,0.05,6.393,134.254,rebuild_archetype_envelope.py geometry assumptions,current-code deep-renovation envelope package from Flemish/Walloon EPB levels,"Schematic envelope reconstruction: rectangular footprint, type-level exposure factors, construction-period U-value packages, and no measured wall/window areas."
BE_RES_SEMI_PRE_1946_AS_IS_HP_V1,semi_detached,as_is,pre_1946,<1946,tabula_current_pre_1946,143.0,2.50,2.0,71.500,33.823,169.115,0.75,126.837,0.160,22.880,103.957,71.500,71.500,2.20,1.70,0.85,5.00,228.704,121.550,60.775,114.400,525.429,0.10,52.543,577.972,rebuild_archetype_envelope.py geometry assumptions,Belgian TABULA current-state construction-element package for <1946 stock,"Schematic envelope reconstruction: rectangular footprint, type-level exposure factors, construction-period U-value packages, and no measured wall/window areas."
BE_RES_SEMI_1946_1970_AS_IS_HP_V1,semi_detached,as_is,1946_1970,1946-1970,tabula_current_1946_1970,143.0,2.50,2.0,71.500,33.823,169.115,0.75,126.837,0.160,22.880,103.957,71.500,71.500,1.70,1.90,0.85,5.00,176.726,135.850,60.775,114.400,487.751,0.10,48.775,536.526,rebuild_archetype_envelope.py geometry assumptions,Belgian TABULA current-state construction-element package for 1946-1970 stock,"Schematic envelope reconstruction: rectangular footprint, type-level exposure factors, construction-period U-value packages, and no measured wall/window areas."
BE_RES_SEMI_1971_1991_AS_IS_HP_V1,semi_detached,as_is,1971_1991,1971-1991,tabula_current_1971_1991,143.0,2.50,2.0,71.500,33.823,169.115,0.75,126.837,0.160,22.880,103.957,71.500,71.500,1.00,0.85,0.85,3.50,103.957,60.775,60.775,80.080,305.587,0.10,30.559,336.145,rebuild_archetype_envelope.py geometry assumptions,Belgian TABULA current-state construction-element package for 1971-1991 stock,"Schematic envelope reconstruction: rectangular footprint, type-level exposure factors, construction-period U-value packages, and no measured wall/window areas."
BE_RES_SEMI_1992_2011_AS_IS_HP_V1,semi_detached,as_is,1992_2011,1992-2011,tabula_current_1992_2011,143.0,2.50,2.0,71.500,33.823,169.115,0.75,126.837,0.160,22.880,103.957,71.500,71.500,0.60,0.60,0.70,3.50,62.374,42.900,50.050,80.080,235.404,0.10,23.540,258.944,rebuild_archetype_envelope.py geometry assumptions,Belgian TABULA current-state construction-element package mapped to 1992-2011 stock,"Schematic envelope reconstruction: rectangular footprint, type-level exposure factors, construction-period U-value packages, and no measured wall/window areas."
BE_RES_SEMI_2012_PLUS_AS_IS_HP_V1,semi_detached,as_is,2012_plus,2012+,tabula_current_2012_plus,143.0,2.50,2.0,71.500,33.823,169.115,0.75,126.837,0.160,22.880,103.957,71.500,71.500,0.40,0.30,0.40,2.00,41.583,21.450,28.600,45.760,137.393,0.05,6.870,144.262,rebuild_archetype_envelope.py geometry assumptions,Belgian TABULA / EPB2010-equivalent package mapped to 2012+ stock,"Schematic envelope reconstruction: rectangular footprint, type-level exposure factors, construction-period U-value packages, and no measured wall/window areas."
BE_RES_SEMI_RENOVATED_HP_V1,semi_detached,renovated,all_periods,all periods,current_code_deep_renovation,143.0,2.50,2.0,71.500,33.823,169.115,0.75,126.837,0.160,22.880,103.957,71.500,71.500,0.24,0.24,0.24,1.50,24.950,17.160,17.160,34.320,93.590,0.05,4.679,98.269,rebuild_archetype_envelope.py geometry assumptions,current-code deep-renovation envelope package from Flemish/Walloon EPB levels,"Schematic envelope reconstruction: rectangular footprint, type-level exposure factors, construction-period U-value packages, and no measured wall/window areas."
BE_RES_TERRACED_PRE_1946_AS_IS_HP_V1,terraced,as_is,pre_1946,<1946,tabula_current_pre_1946,130.0,2.50,2.0,65.000,32.249,161.245,0.50,80.623,0.160,20.800,59.823,65.000,65.000,2.20,1.70,0.85,5.00,131.610,110.500,55.250,104.000,401.360,0.10,40.136,441.496,rebuild_archetype_envelope.py geometry assumptions,Belgian TABULA current-state construction-element package for <1946 stock,"Schematic envelope reconstruction: rectangular footprint, type-level exposure factors, construction-period U-value packages, and no measured wall/window areas."
BE_RES_TERRACED_1946_1970_AS_IS_HP_V1,terraced,as_is,1946_1970,1946-1970,tabula_current_1946_1970,130.0,2.50,2.0,65.000,32.249,161.245,0.50,80.623,0.160,20.800,59.823,65.000,65.000,1.70,1.90,0.85,5.00,101.698,123.500,55.250,104.000,384.448,0.10,38.445,422.893,rebuild_archetype_envelope.py geometry assumptions,Belgian TABULA current-state construction-element package for 1946-1970 stock,"Schematic envelope reconstruction: rectangular footprint, type-level exposure factors, construction-period U-value packages, and no measured wall/window areas."
BE_RES_TERRACED_1971_1991_AS_IS_HP_V1,terraced,as_is,1971_1991,1971-1991,tabula_current_1971_1991,130.0,2.50,2.0,65.000,32.249,161.245,0.50,80.623,0.160,20.800,59.823,65.000,65.000,1.00,0.85,0.85,3.50,59.823,55.250,55.250,72.800,243.123,0.10,24.312,267.435,rebuild_archetype_envelope.py geometry assumptions,Belgian TABULA current-state construction-element package for 1971-1991 stock,"Schematic envelope reconstruction: rectangular footprint, type-level exposure factors, construction-period U-value packages, and no measured wall/window areas."
BE_RES_TERRACED_1992_2011_AS_IS_HP_V1,terraced,as_is,1992_2011,1992-2011,tabula_current_1992_2011,130.0,2.50,2.0,65.000,32.249,161.245,0.50,80.623,0.160,20.800,59.823,65.000,65.000,0.60,0.60,0.70,3.50,35.894,39.000,45.500,72.800,193.194,0.10,19.319,212.513,rebuild_archetype_envelope.py geometry assumptions,Belgian TABULA current-state construction-element package mapped to 1992-2011 stock,"Schematic envelope reconstruction: rectangular footprint, type-level exposure factors, construction-period U-value packages, and no measured wall/window areas."
BE_RES_TERRACED_2012_PLUS_AS_IS_HP_V1,terraced,as_is,2012_plus,2012+,tabula_current_2012_plus,130.0,2.50,2.0,65.000,32.249,161.245,0.50,80.623,0.160,20.800,59.823,65.000,65.000,0.40,0.30,0.40,2.00,23.929,19.500,26.000,41.600,111.029,0.05,5.551,116.580,rebuild_archetype_envelope.py geometry assumptions,Belgian TABULA / EPB2010-equivalent package mapped to 2012+ stock,"Schematic envelope reconstruction: rectangular footprint, type-level exposure factors, construction-period U-value packages, and no measured wall/window areas."
BE_RES_TERRACED_RENOVATED_HP_V1,terraced,renovated,all_periods,all periods,current_code_deep_renovation,130.0,2.50,2.0,65.000,32.249,161.245,0.50,80.623,0.160,20.800,59.823,65.000,65.000,0.24,0.24,0.24,1.50,14.357,15.600,15.600,31.200,76.757,0.05,3.838,80.595,rebuild_archetype_envelope.py geometry assumptions,current-code deep-renovation envelope package from Flemish/Walloon EPB levels,"Schematic envelope reconstruction: rectangular footprint, type-level exposure factors, construction-period U-value packages, and no measured wall/window areas."
