topic,parameter,definition,geography,year_data_vintage,statistic,value,unit,notes,source_bibkey,version,last_updated,editor
Household end-use,Space heating share,Share of household final energy used for space heating,EU-27,2019,Representative (mean),64.17,%,"Computed from nrg_d_hhq (TOTAL, TJ), shares sum ≈ 100%",eurostat_nrg_d_hhq_2019,v0.1,2025-10-13,Alex M.
Household end-use,Water heating share,Share of household final energy used for water heating,EU-27,2019,Representative (mean),14.75,%,"Computed from nrg_d_hhq (TOTAL, TJ)",eurostat_nrg_d_hhq_2019,v0.1,2025-10-13,Alex M.
Household end-use,Cooking share,Share of household final energy used for cooking,EU-27,2019,Representative (mean),6.06,%,"Computed from nrg_d_hhq (TOTAL, TJ)",eurostat_nrg_d_hhq_2019,v0.1,2025-10-13,Alex M.
Household end-use,Space cooling share,Share of household final energy used for space cooling,EU-27,2019,Representative (mean),0.45,%,"Computed from nrg_d_hhq (TOTAL, TJ)",eurostat_nrg_d_hhq_2019,v0.1,2025-10-13,Alex M.
Household end-use,Residual (AL+OT) share,"All other uses (lighting+appliances, other)",EU-27,2019,Representative (mean),14.59,%,Residual = 100 - (SH+WH+CK+SC),eurostat_nrg_d_hhq_2019,v0.1,2025-10-13,Alex M.
Household end-use,Space heating share,Share of household final energy used for space heating,Belgium,2019,Representative (mean),73.01,%,"Computed from nrg_d_hhq (TOTAL, TJ), shares sum ≈ 100%",eurostat_nrg_d_hhq_2019,v0.1,2025-10-13,Alex M.
Household end-use,Water heating share,Share of household final energy used for water heating,Belgium,2019,Representative (mean),12.0,%,"Computed from nrg_d_hhq (TOTAL, TJ)",eurostat_nrg_d_hhq_2019,v0.1,2025-10-13,Alex M.
Household end-use,Cooking share,Share of household final energy used for cooking,Belgium,2019,Representative (mean),1.64,%,"Computed from nrg_d_hhq (TOTAL, TJ)",eurostat_nrg_d_hhq_2019,v0.1,2025-10-13,Alex M.
Household end-use,Space cooling share,Share of household final energy used for space cooling,Belgium,2019,Representative (mean),0.07,%,"Computed from nrg_d_hhq (TOTAL, TJ)",eurostat_nrg_d_hhq_2019,v0.1,2025-10-13,Alex M.
Household end-use,Residual (AL+OT) share,"All other uses (lighting+appliances, other)",Belgium,2019,Representative (mean),13.29,%,Residual = 100 - (SH+WH+CK+SC),eurostat_nrg_d_hhq_2019,v0.1,2025-10-13,Alex M.
Macro energy context,Residential share of final energy,Final energy consumed by households divided by total final energy,EU-27,2022,Representative (mean),25.8,%,Eurostat ten00124; EU-27; 2022,eurostat_ten00124_2022,v0.1,2025-10-13,Alex M.
Macro energy context,Electricity share of final energy,Electricity in final energy consumption divided by total final energy,EU-27,2022,Representative (mean),23.0,%,EU overview consistent with Eurostat; 2022,eurostat_ten00123_2022,v0.1,2025-10-13,Alex M.
Macro energy context,Household electricity share,Electricity share of household final energy consumption,EU-27,2022,Representative (mean),25.1,%,Eurostat household fuel mix; 2022,eurostat_ten00125_2022,v0.1,2025-10-13,Alex M.
Macro energy context,Residential share of final energy,Final energy consumed by households divided by total final energy,Belgium,2022,Representative (mean),24.0,%,Derived from Eurostat energy balances via energy.at-site.be (BE 2022); validate with ten00124,eurostat_ten00124_2022,v0.1,2025-10-13,Alex M.
Macro energy context,Electricity share of final energy,Electricity in final energy consumption divided by total final energy,Belgium,2022,Representative (mean),21.7,%,Derived from Eurostat energy balances via energy.at-site.be (BE 2022); validate with ten00123,eurostat_ten00123_2022,v0.1,2025-10-13,Alex M.
Macro energy context,Household electricity share,Electricity share of household final energy consumption,Belgium,2022,Representative (mean),19.12,%,(4.59 / 24.0)×100 from energy.at-site.be (BE 2022 section); validate with ten00125,eurostat_ten00125_2022,v0.1,2025-10-13,Alex M.
