Latitude (decimal degrees):	50.847
Longitude (decimal degrees):	4.352
Elevation (m):	34
Radiation database:	PVGIS-SARAH3


Slope: 90 deg. 
Azimuth: -179 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230101:0010,0.0,0.0,0.0,0.0,15.4,9.31,0.0
20230101:0110,0.0,0.0,0.0,0.0,15.23,9.52,0.0
20230101:0210,0.0,0.0,0.0,0.0,14.88,9.1,0.0
20230101:0310,0.0,0.0,0.0,0.0,14.69,8.9,0.0
20230101:0410,0.0,0.0,0.0,0.0,14.53,8.48,0.0
20230101:0510,0.0,0.0,0.0,0.0,14.27,7.86,0.0
20230101:0610,0.0,0.0,0.0,0.0,13.78,7.17,0.0
20230101:0710,0.0,0.0,0.0,0.0,12.37,6.76,0.0
20230101:0810,0.0,4.27,1.2,2.32,12.4,6.76,0.0
20230101:0910,0.0,21.72,6.1,8.63,12.6,6.69,0.0
20230101:1010,0.0,34.53,9.7,13.23,12.89,6.48,0.0
20230101:1110,0.0,39.16,11.0,15.74,13.31,6.41,0.0
20230101:1210,0.0,42.72,12.0,15.94,13.65,6.62,0.0
20230101:1310,0.0,35.24,9.9,13.8,13.59,5.72,0.0
20230101:1410,0.0,19.22,5.4,9.53,13.2,4.9,0.0
20230101:1510,0.0,1.78,0.5,3.48,12.6,4.34,0.0
20230101:1610,0.0,0.0,0.0,0.0,11.73,3.86,0.0
20230101:1710,0.0,0.0,0.0,0.0,11.45,3.45,0.0
20230101:1810,0.0,0.0,0.0,0.0,11.26,3.59,0.0
20230101:1910,0.0,0.0,0.0,0.0,10.92,4.07,0.0
20230101:2010,0.0,0.0,0.0,0.0,11.4,5.1,0.0
20230101:2110,0.0,0.0,0.0,0.0,12.25,6.34,0.0
20230101:2210,0.0,0.0,0.0,0.0,12.67,6.55,0.0
20230101:2310,0.0,0.0,0.0,0.0,12.81,6.41,0.0
20230102:0010,0.0,0.0,0.0,0.0,12.94,6.55,0.0
20230102:0110,0.0,0.0,0.0,0.0,12.85,6.48,0.0
20230102:0210,0.0,0.0,0.0,0.0,12.71,6.21,0.0
20230102:0310,0.0,0.0,0.0,0.0,12.57,6.14,0.0
20230102:0410,0.0,0.0,0.0,0.0,12.12,5.86,0.0
20230102:0510,0.0,0.0,0.0,0.0,12.0,5.66,0.0
20230102:0610,0.0,0.0,0.0,0.0,11.52,5.03,0.0
20230102:0710,0.0,0.0,0.0,0.0,10.17,4.62,0.0
20230102:0810,0.0,3.92,1.1,2.34,9.49,4.0,0.0
20230102:0910,0.0,4.63,1.3,8.67,9.16,3.38,0.0
20230102:1010,0.0,14.6,4.1,13.28,9.23,3.1,0.0
20230102:1110,0.0,29.55,8.3,15.81,9.6,3.66,0.0
20230102:1210,0.0,32.04,9.0,16.03,9.35,4.69,0.0
20230102:1310,0.0,25.63,7.2,13.91,9.8,4.41,0.0
20230102:1410,0.0,4.27,1.2,9.65,9.55,4.97,0.0
20230102:1510,0.0,7.12,2.0,3.61,9.24,4.76,0.0
20230102:1610,0.0,0.0,0.0,0.0,8.74,4.21,0.0
20230102:1710,0.0,0.0,0.0,0.0,7.9,3.86,0.0
20230102:1810,0.0,0.0,0.0,0.0,7.39,3.72,0.0
20230102:1910,0.0,0.0,0.0,0.0,6.81,3.66,0.0
20230102:2010,0.0,0.0,0.0,0.0,6.69,3.45,0.0
