scenario_leaf_id,scenario_id,climate_window_id,climate_pathway_id,technology_case_id,realization_id,canonical_start,canonical_end,source_file_window,scenario_config_dir,realization_config_path,run_dir,run_config_path,inputs_manifest_path,outputs_dir,logs_dir,climate_forcing_reference,technology_config_reference
baseline_1981_2005__historical__tech_current_stock__seed_0000,baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,seed_0000,1981-01-01,2005-12-31,1981-2005,model_v3/experiments/scenario_tree/configs/baseline_1981_2005__historical__tech_current_stock,model_v3/experiments/scenario_tree/configs/baseline_1981_2005__historical__tech_current_stock/seed_0000.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0000,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0000/run_config.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0000/inputs_manifest.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0000/outputs,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0000/logs,"{""canonical_end"": ""2005-12-31"", ""canonical_start"": ""1981-01-01"", ""pathway_id"": ""historical"", ""source_file_window"": ""1981-2005"", ""window_id"": ""baseline_1981_2005""}","{""source_metadata"": ""config/model_v3/scenario_tree/technology_cases.yaml"", ""technology_case_id"": ""tech_current_stock""}"
baseline_1981_2005__historical__tech_current_stock__seed_0001,baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,seed_0001,1981-01-01,2005-12-31,1981-2005,model_v3/experiments/scenario_tree/configs/baseline_1981_2005__historical__tech_current_stock,model_v3/experiments/scenario_tree/configs/baseline_1981_2005__historical__tech_current_stock/seed_0001.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0001,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0001/run_config.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0001/inputs_manifest.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0001/outputs,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0001/logs,"{""canonical_end"": ""2005-12-31"", ""canonical_start"": ""1981-01-01"", ""pathway_id"": ""historical"", ""source_file_window"": ""1981-2005"", ""window_id"": ""baseline_1981_2005""}","{""source_metadata"": ""config/model_v3/scenario_tree/technology_cases.yaml"", ""technology_case_id"": ""tech_current_stock""}"
baseline_1981_2005__historical__tech_current_stock__seed_0002,baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,seed_0002,1981-01-01,2005-12-31,1981-2005,model_v3/experiments/scenario_tree/configs/baseline_1981_2005__historical__tech_current_stock,model_v3/experiments/scenario_tree/configs/baseline_1981_2005__historical__tech_current_stock/seed_0002.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0002,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0002/run_config.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0002/inputs_manifest.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0002/outputs,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0002/logs,"{""canonical_end"": ""2005-12-31"", ""canonical_start"": ""1981-01-01"", ""pathway_id"": ""historical"", ""source_file_window"": ""1981-2005"", ""window_id"": ""baseline_1981_2005""}","{""source_metadata"": ""config/model_v3/scenario_tree/technology_cases.yaml"", ""technology_case_id"": ""tech_current_stock""}"
baseline_1981_2005__historical__tech_current_stock__seed_0003,baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,seed_0003,1981-01-01,2005-12-31,1981-2005,model_v3/experiments/scenario_tree/configs/baseline_1981_2005__historical__tech_current_stock,model_v3/experiments/scenario_tree/configs/baseline_1981_2005__historical__tech_current_stock/seed_0003.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0003,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0003/run_config.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0003/inputs_manifest.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0003/outputs,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0003/logs,"{""canonical_end"": ""2005-12-31"", ""canonical_start"": ""1981-01-01"", ""pathway_id"": ""historical"", ""source_file_window"": ""1981-2005"", ""window_id"": ""baseline_1981_2005""}","{""source_metadata"": ""config/model_v3/scenario_tree/technology_cases.yaml"", ""technology_case_id"": ""tech_current_stock""}"
baseline_1981_2005__historical__tech_current_stock__seed_0004,baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,seed_0004,1981-01-01,2005-12-31,1981-2005,model_v3/experiments/scenario_tree/configs/baseline_1981_2005__historical__tech_current_stock,model_v3/experiments/scenario_tree/configs/baseline_1981_2005__historical__tech_current_stock/seed_0004.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0004,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0004/run_config.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0004/inputs_manifest.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0004/outputs,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0004/logs,"{""canonical_end"": ""2005-12-31"", ""canonical_start"": ""1981-01-01"", ""pathway_id"": ""historical"", ""source_file_window"": ""1981-2005"", ""window_id"": ""baseline_1981_2005""}","{""source_metadata"": ""config/model_v3/scenario_tree/technology_cases.yaml"", ""technology_case_id"": ""tech_current_stock""}"
baseline_1981_2005__historical__tech_current_stock__seed_0005,baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,seed_0005,1981-01-01,2005-12-31,1981-2005,model_v3/experiments/scenario_tree/configs/baseline_1981_2005__historical__tech_current_stock,model_v3/experiments/scenario_tree/configs/baseline_1981_2005__historical__tech_current_stock/seed_0005.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0005,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0005/run_config.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0005/inputs_manifest.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0005/outputs,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0005/logs,"{""canonical_end"": ""2005-12-31"", ""canonical_start"": ""1981-01-01"", ""pathway_id"": ""historical"", ""source_file_window"": ""1981-2005"", ""window_id"": ""baseline_1981_2005""}","{""source_metadata"": ""config/model_v3/scenario_tree/technology_cases.yaml"", ""technology_case_id"": ""tech_current_stock""}"
baseline_1981_2005__historical__tech_current_stock__seed_0006,baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,seed_0006,1981-01-01,2005-12-31,1981-2005,model_v3/experiments/scenario_tree/configs/baseline_1981_2005__historical__tech_current_stock,model_v3/experiments/scenario_tree/configs/baseline_1981_2005__historical__tech_current_stock/seed_0006.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0006,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0006/run_config.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0006/inputs_manifest.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0006/outputs,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0006/logs,"{""canonical_end"": ""2005-12-31"", ""canonical_start"": ""1981-01-01"", ""pathway_id"": ""historical"", ""source_file_window"": ""1981-2005"", ""window_id"": ""baseline_1981_2005""}","{""source_metadata"": ""config/model_v3/scenario_tree/technology_cases.yaml"", ""technology_case_id"": ""tech_current_stock""}"
baseline_1981_2005__historical__tech_current_stock__seed_0007,baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,seed_0007,1981-01-01,2005-12-31,1981-2005,model_v3/experiments/scenario_tree/configs/baseline_1981_2005__historical__tech_current_stock,model_v3/experiments/scenario_tree/configs/baseline_1981_2005__historical__tech_current_stock/seed_0007.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0007,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0007/run_config.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0007/inputs_manifest.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0007/outputs,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0007/logs,"{""canonical_end"": ""2005-12-31"", ""canonical_start"": ""1981-01-01"", ""pathway_id"": ""historical"", ""source_file_window"": ""1981-2005"", ""window_id"": ""baseline_1981_2005""}","{""source_metadata"": ""config/model_v3/scenario_tree/technology_cases.yaml"", ""technology_case_id"": ""tech_current_stock""}"
baseline_1981_2005__historical__tech_current_stock__seed_0008,baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,seed_0008,1981-01-01,2005-12-31,1981-2005,model_v3/experiments/scenario_tree/configs/baseline_1981_2005__historical__tech_current_stock,model_v3/experiments/scenario_tree/configs/baseline_1981_2005__historical__tech_current_stock/seed_0008.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0008,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0008/run_config.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0008/inputs_manifest.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0008/outputs,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0008/logs,"{""canonical_end"": ""2005-12-31"", ""canonical_start"": ""1981-01-01"", ""pathway_id"": ""historical"", ""source_file_window"": ""1981-2005"", ""window_id"": ""baseline_1981_2005""}","{""source_metadata"": ""config/model_v3/scenario_tree/technology_cases.yaml"", ""technology_case_id"": ""tech_current_stock""}"
baseline_1981_2005__historical__tech_current_stock__seed_0009,baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,seed_0009,1981-01-01,2005-12-31,1981-2005,model_v3/experiments/scenario_tree/configs/baseline_1981_2005__historical__tech_current_stock,model_v3/experiments/scenario_tree/configs/baseline_1981_2005__historical__tech_current_stock/seed_0009.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0009,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0009/run_config.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0009/inputs_manifest.yaml,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0009/outputs,model_v3/experiments/scenario_tree/runs/baseline_1981_2005__historical__tech_current_stock__seed_0009/logs,"{""canonical_end"": ""2005-12-31"", ""canonical_start"": ""1981-01-01"", ""pathway_id"": ""historical"", ""source_file_window"": ""1981-2005"", ""window_id"": ""baseline_1981_2005""}","{""source_metadata"": ""config/model_v3/scenario_tree/technology_cases.yaml"", ""technology_case_id"": ""tech_current_stock""}"
