comparison_name,comparison_type,output_file,row_count,metric_set,reference_policy,baseline_or_reference_scenario,generated_at_utc,status,warnings_count
climate_only,absolute,model_v3/experiments/scenario_tree/summaries/comparison_level/climate_only/climate_only_absolute_metrics.csv,0,all_major_metrics,historical baseline matched by realization_id,baseline_1981_2005__historical__tech_current_stock,2026-05-11T17:21:41.188672+00:00,written,9
climate_only,delta,model_v3/experiments/scenario_tree/summaries/comparison_level/climate_only/climate_only_delta_vs_baseline.csv,0,all_major_metrics,historical baseline matched by realization_id,baseline_1981_2005__historical__tech_current_stock,2026-05-11T17:21:41.188672+00:00,written,9
climate_only,percentage,model_v3/experiments/scenario_tree/summaries/comparison_level/climate_only/climate_only_percentage_change_vs_baseline.csv,0,all_major_metrics,historical baseline matched by realization_id,baseline_1981_2005__historical__tech_current_stock,2026-05-11T17:21:41.188672+00:00,written,9
climate_only,uncertainty,model_v3/experiments/scenario_tree/summaries/comparison_level/climate_only/climate_only_uncertainty_bands.csv,0,all_major_metrics,historical baseline matched by realization_id,baseline_1981_2005__historical__tech_current_stock,2026-05-11T17:21:41.188672+00:00,written,9
technology_only,absolute,model_v3/experiments/scenario_tree/summaries/comparison_level/technology_only/technology_only_absolute_metrics.csv,1,all_major_metrics,tech_frozen_stock matched by realization_id within climate pathway,tech_frozen_stock,2026-05-11T17:21:41.188672+00:00,written,26
technology_only,delta,model_v3/experiments/scenario_tree/summaries/comparison_level/technology_only/technology_only_delta_vs_frozen_stock.csv,1,all_major_metrics,tech_frozen_stock matched by realization_id within climate pathway,tech_frozen_stock,2026-05-11T17:21:41.188672+00:00,written,26
technology_only,percentage,model_v3/experiments/scenario_tree/summaries/comparison_level/technology_only/technology_only_percentage_change_vs_frozen_stock.csv,1,all_major_metrics,tech_frozen_stock matched by realization_id within climate pathway,tech_frozen_stock,2026-05-11T17:21:41.188672+00:00,written,26
technology_only,uncertainty,model_v3/experiments/scenario_tree/summaries/comparison_level/technology_only/technology_only_uncertainty_bands.csv,0,all_major_metrics,tech_frozen_stock matched by realization_id within climate pathway,tech_frozen_stock,2026-05-11T17:21:41.188672+00:00,written,26
combined_stress_case,absolute,model_v3/experiments/scenario_tree/summaries/comparison_level/combined_stress_case/combined_stress_case_absolute_metrics.csv,0,all_major_metrics,historical baseline matched by realization_id,baseline_1981_2005__historical__tech_current_stock,2026-05-11T17:21:41.188672+00:00,written,1
combined_stress_case,delta,model_v3/experiments/scenario_tree/summaries/comparison_level/combined_stress_case/combined_stress_case_delta_vs_baseline.csv,0,all_major_metrics,historical baseline matched by realization_id,baseline_1981_2005__historical__tech_current_stock,2026-05-11T17:21:41.188672+00:00,written,1
combined_stress_case,percentage,model_v3/experiments/scenario_tree/summaries/comparison_level/combined_stress_case/combined_stress_case_percentage_change_vs_baseline.csv,0,all_major_metrics,historical baseline matched by realization_id,baseline_1981_2005__historical__tech_current_stock,2026-05-11T17:21:41.188672+00:00,written,1
combined_stress_case,uncertainty,model_v3/experiments/scenario_tree/summaries/comparison_level/combined_stress_case/combined_stress_case_uncertainty_bands.csv,0,all_major_metrics,historical baseline matched by realization_id,baseline_1981_2005__historical__tech_current_stock,2026-05-11T17:21:41.188672+00:00,written,1
stochastic_robustness,uncertainty,model_v3/experiments/scenario_tree/summaries/comparison_level/stochastic_robustness/stochastic_uncertainty_bands.csv,40,all_major_metrics,within-scenario stochastic spread,none,2026-05-11T17:21:41.188672+00:00,written,0
stochastic_robustness,spread,model_v3/experiments/scenario_tree/summaries/comparison_level/stochastic_robustness/stochastic_spread_metrics.csv,40,all_major_metrics,within-scenario stochastic spread,none,2026-05-11T17:21:41.188672+00:00,written,0
